Entity,Code,Year,"Hospital beds (per 100,000)"
Belarus,BLR,2003,11.3
Belarus,BLR,2004,10.7
Belarus,BLR,2005,11.1
Belarus,BLR,2006,11.2
Belarus,BLR,2007,11.2
Belarus,BLR,2008,11.1
Belarus,BLR,2009,11.1
Belarus,BLR,2010,11.5
Belarus,BLR,2011,11.3
Belarus,BLR,2012,11.3
Belarus,BLR,2013,11
Belgium,BEL,1970,8.3
Belgium,BEL,1980,9.4
Belgium,BEL,1985,9.1
Belgium,BEL,1990,8
Belgium,BEL,1991,7.9
Belgium,BEL,1992,7.7
Belgium,BEL,1993,7.7
Belgium,BEL,1994,7.6
Belgium,BEL,1997,7.2
Belgium,BEL,1998,7.2
Belgium,BEL,1999,7.1
Belgium,BEL,2000,7.8
Belgium,BEL,2001,7.7
Belgium,BEL,2002,7.6
Belgium,BEL,2003,7.5
Belgium,BEL,2004,7.5
Belgium,BEL,2005,6.44
Belgium,BEL,2006,6.35
Belgium,BEL,2007,6.27
Belgium,BEL,2008,6.25
Belgium,BEL,2009,6.15
Belgium,BEL,2010,6.12
Belgium,BEL,2011,6.05
Belgium,BEL,2012,5.99
Belgium,BEL,2013,5.93
Belgium,BEL,2014,5.85
Belgium,BEL,2015,5.83
Belgium,BEL,2016,5.76
Belgium,BEL,2017,5.66
Belgium,BEL,2018,5.64
Belize,BLZ,1960,4.66777
Belize,BLZ,1970,5.4014
Belize,BLZ,1986,3.3168
Belize,BLZ,1990,2.7
Belize,BLZ,1993,2.8
Belize,BLZ,1995,2.5
Belize,BLZ,1996,2.13
Belize,BLZ,2000,1.9
Belize,BLZ,2003,1.3
Belize,BLZ,2004,1.3
Belize,BLZ,2005,1.2
Belize,BLZ,2006,1.3
Belize,BLZ,2007,1.2
Belize,BLZ,2008,1.2
Belize,BLZ,2009,1.1
Belize,BLZ,2010,1.2
Belize,BLZ,2011,1.1
Belize,BLZ,2012,1.1
Belize,BLZ,2013,0.9
Belize,BLZ,2014,1.3
Benin,BEN,1960,1.22575
Benin,BEN,1970,1.1549
Benin,BEN,1980,1.4649
Benin,BEN,1981,1.1312
Benin,BEN,1985,0.3596
Benin,BEN,1990,0.8339
Benin,BEN,1991,0.5005
Benin,BEN,1992,0.2231
Benin,BEN,1993,0.2391
Benin,BEN,1994,0.2336
Benin,BEN,2005,0.5
Benin,BEN,2010,0.5
Bermuda,BMU,1996,6.3
Bhutan,BTN,1986,1.7059
Bhutan,BTN,1990,0.8467
Bhutan,BTN,1994,1.6148
Bhutan,BTN,1999,1.6
Bhutan,BTN,2001,1.6
Bhutan,BTN,2002,1.6
Bhutan,BTN,2006,1.7
Bhutan,BTN,2011,1.8
Bhutan,BTN,2012,1.7
Bolivia,BOL,1960,1.84542
Bolivia,BOL,1970,2.3217
Bolivia,BOL,1975,2.0588
Bolivia,BOL,1990,1.3178
Bolivia,BOL,1991,1.411
Bolivia,BOL,1993,1.4
Bolivia,BOL,1996,1.67
Bolivia,BOL,2003,1
Bolivia,BOL,2004,1
Bolivia,BOL,2006,1.1
Bolivia,BOL,2007,1.1
Bolivia,BOL,2008,1.1
Bolivia,BOL,2009,1.1
Bolivia,BOL,2011,1.1
Bolivia,BOL,2012,1.1
Bolivia,BOL,2013,1.1
Bolivia,BOL,2014,1.1
Bosnia_and_Herzegovina,BIH,1980,4.8311
Bosnia_and_Herzegovina,BIH,1981,4.9228
Bosnia_and_Herzegovina,BIH,1982,4.9179
Bosnia_and_Herzegovina,BIH,1983,4.9047
Bosnia_and_Herzegovina,BIH,1984,4.8137
Bosnia_and_Herzegovina,BIH,1985,4.7181
Bosnia_and_Herzegovina,BIH,1986,4.742
Bosnia_and_Herzegovina,BIH,1987,4.5935
Bosnia_and_Herzegovina,BIH,1988,4.5782
Bosnia_and_Herzegovina,BIH,1989,4.4983
Bosnia_and_Herzegovina,BIH,1990,4.4591
Bosnia_and_Herzegovina,BIH,1991,4.378
Bosnia_and_Herzegovina,BIH,1998,3.82
Bosnia_and_Herzegovina,BIH,1999,3.8
Bosnia_and_Herzegovina,BIH,2000,3.4
Bosnia_and_Herzegovina,BIH,2001,3.2
Bosnia_and_Herzegovina,BIH,2002,3.2
Bosnia_and_Herzegovina,BIH,2003,3.2
Bosnia_and_Herzegovina,BIH,2004,3.1
Bosnia_and_Herzegovina,BIH,2005,3
Bosnia_and_Herzegovina,BIH,2006,3.3
Bosnia_and_Herzegovina,BIH,2007,3.4
Bosnia_and_Herzegovina,BIH,2008,3.4
Bosnia_and_Herzegovina,BIH,2009,3.3
Bosnia_and_Herzegovina,BIH,2010,3.4
Bosnia_and_Herzegovina,BIH,2011,3.5
Bosnia_and_Herzegovina,BIH,2012,3.5
Bosnia_and_Herzegovina,BIH,2013,3.5
Botswana,BWA,1960,2.12292
Botswana,BWA,1980,2.3631
Botswana,BWA,1990,1.5752
Botswana,BWA,2003,2.2
Botswana,BWA,2007,2.4
Botswana,BWA,2008,1.8
Botswana,BWA,2010,1.8
Brazil,BRA,1960,3.2018
Brazil,BRA,1970,3.6918
Brazil,BRA,1975,4.9951
Brazil,BRA,1987,3.5603
Brazil,BRA,1990,3.3453
Brazil,BRA,1993,3.5
Brazil,BRA,1996,3.11
Brazil,BRA,2002,2.6
Brazil,BRA,2005,2.52
Brazil,BRA,2006,2.48
Brazil,BRA,2007,2.47
Brazil,BRA,2008,2.44
Brazil,BRA,2009,2.43
Brazil,BRA,2010,2.37
Brazil,BRA,2011,2.34
Brazil,BRA,2012,2.3
Brazil,BRA,2013,2.3
Brazil,BRA,2014,2.2
Brunei,BRN,1960,4.90244
Brunei,BRN,1970,3.5077
Brunei,BRN,1981,2.9359
Brunei,BRN,1982,2.994
Brunei,BRN,2000,2.6
Brunei,BRN,2002,2.7
Brunei,BRN,2004,2.6
Brunei,BRN,2005,3
Brunei,BRN,2006,2.79
Brunei,BRN,2008,2.7
Brunei,BRN,2009,2.6
Brunei,BRN,2011,2.79
Brunei,BRN,2012,2.7
Brunei,BRN,2015,2.7
Bulgaria,BGR,1960,6.21368
Bulgaria,BGR,1980,8.8506
Bulgaria,BGR,1981,8.859
Bulgaria,BGR,1982,8.8867
Bulgaria,BGR,1983,8.8768
Bulgaria,BGR,1984,8.963
Bulgaria,BGR,1985,9.114
Bulgaria,BGR,1986,9.4521
Bulgaria,BGR,1987,9.5642
Bulgaria,BGR,1988,9.5602
Bulgaria,BGR,1989,9.7021
Bulgaria,BGR,1990,9.7908
Bulgaria,BGR,1991,9.7682
Bulgaria,BGR,1992,10.2064
Bulgaria,BGR,1993,10.4942
Bulgaria,BGR,1994,10.1961
Bulgaria,BGR,1995,10.37
Bulgaria,BGR,1996,10.47
Bulgaria,BGR,1997,10.28
Bulgaria,BGR,1998,8.41
Bulgaria,BGR,1999,7.49
Bulgaria,BGR,2000,7.4
Bulgaria,BGR,2001,7.2
Bulgaria,BGR,2002,6.5
Bulgaria,BGR,2003,6.3
Bulgaria,BGR,2004,6.1
Bulgaria,BGR,2005,6.4
Bulgaria,BGR,2006,6.2
Bulgaria,BGR,2007,6.4
Bulgaria,BGR,2008,6.5
Bulgaria,BGR,2009,6.7219
Bulgaria,BGR,2010,6.6166
Bulgaria,BGR,2011,6.4492
Bulgaria,BGR,2012,6.6122
Bulgaria,BGR,2013,6.8164
Bulgaria,BGR,2014,7.1298
Bulgaria,BGR,2015,7.235
Bulgaria,BGR,2016,7.2695
Bulgaria,BGR,2017,7.454
Burkina_Faso,BFA,1960,0.52376
Burkina_Faso,BFA,1970,0.5715
Burkina_Faso,BFA,1989,0.3064
Burkina_Faso,BFA,1990,0.2993
Burkina_Faso,BFA,1995,1.3
Burkina_Faso,BFA,1996,1.42
Burkina_Faso,BFA,2006,0.9
Burkina_Faso,BFA,2010,0.4
Burundi,BDI,1960,1.12241
Burundi,BDI,1970,1.2806
Burundi,BDI,1975,1.1232
Burundi,BDI,1986,0.6792
Burundi,BDI,1991,0.6631
Burundi,BDI,2006,0.7
Burundi,BDI,2011,1.9
Burundi,BDI,2014,0.8
Cambodia,KHM,1960,0.74655
Cambodia,KHM,1970,1.081
Cambodia,KHM,1988,2.0987
Cambodia,KHM,1990,2.0721
Cambodia,KHM,2001,0.6
Cambodia,KHM,2004,0.1
Cambodia,KHM,2010,0.84
Cambodia,KHM,2011,0.7
Cambodia,KHM,2013,0.7
Cambodia,KHM,2015,0.8
Cameroon,CMR,1960,2.00227
Cameroon,CMR,1970,1.7515
Cameroon,CMR,1975,2.4659
Cameroon,CMR,1989,2.5983
Cameroon,CMR,1990,2.5533
Cameroon,CMR,2006,1.5
Cameroon,CMR,2010,1.3
Canada,CAN,1960,6.2
Canada,CAN,1970,7
Canada,CAN,1976,6.9
Canada,CAN,1977,6.9
Canada,CAN,1978,6.9
Canada,CAN,1979,6.8
Canada,CAN,1980,6.8
Canada,CAN,1981,6.9
Canada,CAN,1982,6.8
Canada,CAN,1983,6.8
Canada,CAN,1984,6.8
Canada,CAN,1985,6.8
Canada,CAN,1986,6.7
Canada,CAN,1987,6.6
Canada,CAN,1988,6.5
Canada,CAN,1989,6.3
Canada,CAN,1990,6
Canada,CAN,1991,5.8
Canada,CAN,1992,5.5
Canada,CAN,1993,5.4
Canada,CAN,1995,5
Canada,CAN,1996,4.6
Canada,CAN,1997,4.4
Canada,CAN,1998,4.2
Canada,CAN,1999,3.9
Canada,CAN,2000,3.4
Canada,CAN,2001,3.7
Canada,CAN,2002,3.7
Canada,CAN,2003,3.6
Canada,CAN,2005,3.1
Canada,CAN,2006,3.02
Canada,CAN,2007,2.96
Canada,CAN,2008,2.85
Canada,CAN,2009,2.8
Canada,CAN,2010,2.78
Canada,CAN,2011,2.8
Canada,CAN,2012,2.78
Canada,CAN,2013,2.71
Canada,CAN,2014,2.67
Canada,CAN,2015,2.61
Canada,CAN,2016,2.58
Canada,CAN,2017,2.52
Canada,CAN,2018,2.5
Cape_Verde,CPV,1970,1.4082
Cape_Verde,CPV,1980,2.1869
Cape_Verde,CPV,1988,1.5977
Cape_Verde,CPV,1992,1.5831
Cape_Verde,CPV,2005,2.1
Cape_Verde,CPV,2008,2.1
Cape_Verde,CPV,2010,2.1
Caribbean_small_states,,1960,5.05424
Caribbean_small_states,,1970,4.99597
Caribbean_small_states,,1975,4.99042
Caribbean_small_states,,1990,3.62007
Caribbean_small_states,,1993,2.82115
Caribbean_small_states,,1995,3.09152
Caribbean_small_states,,1996,3.47944
Caribbean_small_states,,2001,2.49298
Caribbean_small_states,,2003,2.53153
Caribbean_small_states,,2005,2.44257
Caribbean_small_states,,2006,2.55656
Caribbean_small_states,,2007,2.18228
Caribbean_small_states,,2009,2.30053
Caribbean_small_states,,2010,2.3248
Caribbean_small_states,,2012,2.35472
Caribbean_small_states,,2013,2.26723
Cayman_Islands,CYM,1990,3
Central_African_Republic,CAF,1960,1.23142
Central_African_Republic,CAF,1970,1.8756
Central_African_Republic,CAF,1980,1.5586
Central_African_Republic,CAF,1990,0.8732
Central_African_Republic,CAF,2006,1.2
Central_African_Republic,CAF,2011,1
Central_Europe_and_the_Baltics,,1980,8.03054
Central_Europe_and_the_Baltics,,1985,8.20066
Central_Europe_and_the_Baltics,,1990,8.11984
Central_Europe_and_the_Baltics,,1991,8.03883
Central_Europe_and_the_Baltics,,1992,7.67229
Central_Europe_and_the_Baltics,,1993,7.64289
Central_Europe_and_the_Baltics,,1994,7.63067
Central_Europe_and_the_Baltics,,1995,7.23869
Central_Europe_and_the_Baltics,,1996,7.26825
Central_Europe_and_the_Baltics,,1997,7.02307
Central_Europe_and_the_Baltics,,1998,6.79733
Central_Europe_and_the_Baltics,,1999,6.61653
Central_Europe_and_the_Baltics,,2000,6.69762
Central_Europe_and_the_Baltics,,2002,6.75132
Central_Europe_and_the_Baltics,,2003,6.8829
Central_Europe_and_the_Baltics,,2004,6.82398
Central_Europe_and_the_Baltics,,2005,6.77524
Central_Europe_and_the_Baltics,,2006,6.71996
Central_Europe_and_the_Baltics,,2007,6.57746
Central_Europe_and_the_Baltics,,2008,6.63779
Central_Europe_and_the_Baltics,,2009,6.63349
Central_Europe_and_the_Baltics,,2010,6.48707
Central_Europe_and_the_Baltics,,2011,6.42078
Central_Europe_and_the_Baltics,,2012,6.42305
Central_Europe_and_the_Baltics,,2013,6.42145
Chad,TCD,1960,0.69745
Chad,TCD,1970,1.31
Chad,TCD,1991,0.7201
Chad,TCD,2005,0.4
Channel_Islands,OWID_CIS,1960,11.15385
Channel_Islands,OWID_CIS,1970,11.225
Channel_Islands,OWID_CIS,1980,10.6512
Channel_Islands,OWID_CIS,1981,10.5951
Chile,CHL,1960,3.67429
Chile,CHL,1970,3.7764
Chile,CHL,1980,3.4064
Chile,CHL,1989,3.1767
Chile,CHL,1990,3.1586
Chile,CHL,1993,3.1
Chile,CHL,1996,2.67
Chile,CHL,2002,2.6
Chile,CHL,2004,2.4
Chile,CHL,2005,2.31
Chile,CHL,2006,2.33
Chile,CHL,2007,2.29
Chile,CHL,2008,2.28
Chile,CHL,2009,2.27
Chile,CHL,2010,2.04
Chile,CHL,2011,2.22
Chile,CHL,2012,2.17
Chile,CHL,2013,2.16
Chile,CHL,2014,2.11
Chile,CHL,2015,2.14
Chile,CHL,2016,2.12
Chile,CHL,2017,2.11
China,CHN,1965,1.44
China,CHN,1966,1.52
China,CHN,1967,1.5
China,CHN,1968,1.45
China,CHN,1969,1.45
China,CHN,1970,1.54
China,CHN,1971,1.58
China,CHN,1972,1.71
China,CHN,1973,1.77
China,CHN,1974,1.85
China,CHN,1975,1.92
China,CHN,1976,2
China,CHN,1977,2.07
China,CHN,1978,2.14
China,CHN,1979,2.2
China,CHN,1980,2.23
China,CHN,1981,2.25
China,CHN,1982,2.26
China,CHN,1983,2.29
China,CHN,1984,2.33
China,CHN,1985,2.37
China,CHN,1986,2.4
China,CHN,1987,2.48
China,CHN,1988,2.54
China,CHN,1989,2.56
China,CHN,1990,2.58
China,CHN,1991,2.6
China,CHN,1992,2.62
China,CHN,1993,2.63
China,CHN,1994,2.63
China,CHN,1995,2.61
China,CHN,1996,2.55
China,CHN,1997,2.55
China,CHN,1998,2.53
China,CHN,1999,2.52
China,CHN,2000,2.52
China,CHN,2001,2.52
China,CHN,2002,2.45
China,CHN,2003,2.2
China,CHN,2004,3
China,CHN,2005,1.85
China,CHN,2006,1.93
China,CHN,2007,2
China,CHN,2008,2.14
China,CHN,2009,2.31
China,CHN,2010,2.49
China,CHN,2011,2.71
China,CHN,2012,3.03
China,CHN,2013,3.31
China,CHN,2014,3.57
China,CHN,2015,3.82
China,CHN,2016,4.05
China,CHN,2017,4.34
Colombia,COL,1960,2.57555
Colombia,COL,1970,2.0973
Colombia,COL,1980,1.5641
Colombia,COL,1989,1.2511
Colombia,COL,1990,1.3667
Colombia,COL,1993,1.3
Colombia,COL,1996,1.46
Colombia,COL,2003,1.1
Colombia,COL,2004,1.2
Colombia,COL,2006,1
Colombia,COL,2007,1
Colombia,COL,2010,1.48
Colombia,COL,2011,1.45
Colombia,COL,2012,1.48
Colombia,COL,2013,1.54
Colombia,COL,2014,1.59
Colombia,COL,2015,1.61
Colombia,COL,2016,1.68
Colombia,COL,2017,1.7
Colombia,COL,2018,1.71
Comoros,COM,1989,3.1249
Comoros,COM,1990,2.7616
Comoros,COM,2006,2.2
Comoros,COM,2010,2.2
Congo,COG,1960,3.75709
Congo,COG,1970,4.3872
Congo,COG,1990,3.35
